소재지,Latitude,Longitude,도로명,주택유형,건축년도,건축구조,전용면적,건축면적,연면적,대지면적
부산광역시 해운대구 재송동 1030,35.1940558,129.1261341,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,459.17,2339.49,7662.7
부산광역시 해운대구 재송동 1030,35.1940558,129.1261341,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,367.34,1880.34,7662.7
부산광역시 해운대구 재송동 1030,35.1940558,129.1261341,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,367.34,1880.34,7662.7
부산광역시 해운대구 재송동 1030,35.1940558,129.1261341,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,459.17,2339.49,7662.7
부산광역시 해운대구 재송동 1030,35.1940558,129.1261341,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,459.17,2339.49,7662.7
부산광역시 해운대구 재송동 1030,35.1940558,129.1261341,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,459.17,2339.49,7662.7
부산광역시 해운대구 재송동 1030,35.1940558,129.1261341,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,459.17,2339.49,7662.7
부산광역시 해운대구 재송동 1030,35.1940558,129.1261341,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,275.5,1421.14,7662.7
부산광역시 해운대구 재송동 1030,35.1940558,129.1261341,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,367.34,1880.34,7662.7
부산광역시 해운대구 재송동 1030,35.1940558,129.1261341,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,459.17,2339.49,7662.7
부산광역시 해운대구 재송동 1030,35.1940558,129.1261341,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,459.17,2339.49,7662.7
부산광역시 해운대구 재송동 1030,35.1940558,129.1261341,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,459.17,2339.49,7662.7
부산광역시 해운대구 재송동 1030,35.1940558,129.1261341,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,459.17,2339.49,7662.7
